source_id,source_type,domain,platform,mission,trust_object,assurance_layer,lifecycle_stage,evidence,threat,trust_method,blockchain_role,assumptions,evaluation_maturity,limitations,coding_status,title,year,doi_or_url
saeed2019underwater,peer-reviewed review,underwater,UUV/IoUT,navigation/localization,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Underwater optical wireless communications, networking, and localization: A survey",2019,10.1016/j.adhoc.2019.101935
diamant2018low,peer-reviewed review,underwater,UUV/IoUT,communications/data collection,link/path,observation validity,sensing/collection; transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Low Probability of Detection for Underwater Acoustic Communication: A Review,2018,10.1109/access.2018.2818110
zhu2024design,peer-reviewed review,underwater,UUV/IoUT,communications/data collection,link/path,observation validity; mission-use suitability,sensing/collection; transmission/relay; decision/action,"UWSN trust-management taxonomy, process decomposition, method comparison, and design guidelines",not title-coded,trust/reputation method; full-text coding pending,not central,published UWSN trust models are comparable through common evidence/evaluation/propagation stages,review-level synthesis,does not itself validate an integrated mission-trust implementation,lawful full text inspected; claim-level coding completed for review scope,Design Guidelines on Trust Management for Underwater Wireless Sensor Networks,2024,10.1109/comst.2024.3389728
jiang2020dynamic,peer-reviewed primary study,underwater,UUV/IoUT,communications/data collection,link/path,observation validity; mission-use suitability,sensing/collection; transmission/relay; decision/action,"C4.5 classification of data-, link-, and node-based trust evidence with simulated attack and energy comparisons",not title-coded,trust/reputation method; full-text coding pending,not central,base station performs classification; evaluated trust evidence is not maliciously polluted,software simulation (maturity level 2),actual underwater applicability not tested; acoustic loss can make normal nodes appear untrustworthy,lawful full text inspected; claim-level coding completed for review scope,A Dynamic Trust Evaluation and Update Mechanism Based on C4.5 Decision Tree in Underwater Wireless Sensor Networks,2020,10.1109/tvt.2020.2999566
arifeen2020hidden,peer-reviewed primary study,underwater,UUV/IoUT,communications/data collection,link/path,observation validity; mission-use suitability,sensing/collection; transmission/relay; decision/action,HMM construction using packet-loss/error observations plus MATLAB numerical illustration and analytical cipher cost,not title-coded,hidden Markov model,not central,packet loss/error discriminate malicious from trustworthy state; illustration uses random probabilities and ten observations,analytical and numerical illustration (maturity level 1--2),no calibrated attack/environment separation or representative underwater deployment,lawful full text inspected; claim-level coding completed for review scope,Hidden Markov Model based Trust Management Model for Underwater Wireless Sensor Networks,2020,10.1145/3377049.3377054
liu2023survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Survey on Blockchain-Based Trust Management for Internet of Things,2023,10.1109/jiot.2023.3237893
ahmed2019trust,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,maritime search and rescue/observation,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,"Trust and reputation for Internet of Things: Fundamentals, taxonomy, and open research challenges",2019,10.1016/j.jnca.2019.102409
aaqib2023iot,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,IoT trust and reputation: a survey and taxonomy,2023,10.1186/s13677-023-00416-8
junior2021survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,A Survey on Trustworthiness for the Internet of Things,2021,10.1109/access.2021.3066457
bellini2020blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Blockchain-Based Distributed Trust and Reputation Management Systems: A Survey,2020,10.1109/access.2020.2969820
hbaieb2022survey,peer-reviewed review,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey of trust management in the Internet of Vehicles,2022,10.1016/j.comnet.2021.108558
mohammadi2019trust,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Trust-based recommendation systems in Internet of Things: a systematic literature review,2019,10.1186/s13673-019-0183-8
alkhafajiy2020comitment,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,COMITMENT: A Fog Computing Trust Management Approach,2020,10.1016/j.jpdc.2019.10.006
kumar2022leveraging,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Leveraging blockchain for ensuring trust in IoT: A survey,2022,10.1016/j.jksuci.2021.09.004
li2021blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Blockchain-based trust management in cloud computing systems: a taxonomy, review and future directions",2021,10.1186/s13677-021-00247-5
syed2022zero,peer-reviewed review,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,admission/authentication; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Zero Trust Architecture (ZTA): A Comprehensive Survey,2022,10.1109/access.2022.3174679
veith2023road,peer-reviewed review,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,The Road to Trustworthy 6G: A Survey on Trust Anchor Technologies,2023,10.1109/ojcoms.2023.3244274
rose2020zero,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,admission/authentication; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Zero Trust Architecture,2020,10.6028/nist.sp.800-207
fagan2020iot,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,IoT device cybersecurity capability core baseline,2020,10.6028/nist.ir.8259a
birkholz2023remote,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity,admission/authentication,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Remote ATtestation procedureS (RATS) Architecture,2023,10.17487/rfc9334
jsang2016subjective,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,subjective logic,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Subjective Logic,2016,10.1007/978-3-319-42337-1
mui2003computational,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A computational model of trust and reputation,2003,10.1109/hicss.2002.994181
kamvar2003eigentrust,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,communications/data collection,link/path,mission-use suitability,transmission/relay; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,spectral reputation,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,The Eigentrust algorithm for reputation management in P2P networks,2003,10.1145/775152.775242
androulaki2018hyperledger,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,ledger/governance consistency,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Hyperledger fabric,2018,10.1145/3190508.3190538
yaga2018blockchain,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain technology overview,2018,10.6028/nist.ir.8202
ali2019applications,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Applications of Blockchains in the Internet of Things: A Comprehensive Survey,2019,10.1109/comst.2018.2886932
reyna2018blockchain,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,On blockchain and its integration with IoT. Challenges and opportunities,2018,10.1016/j.future.2018.05.046
li2020survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey on the security of blockchain systems,2020,10.1016/j.future.2017.08.020
wang2019survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Survey on Consensus Mechanisms and Mining Strategy Management in Blockchain Networks,2019,10.1109/access.2019.2896108
lashkari2021comprehensive,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Comprehensive Review of Blockchain Consensus Mechanisms,2021,10.1109/access.2021.3065880
hafid2020scaling,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Scaling Blockchains: A Comprehensive Survey,2020,10.1109/access.2020.3007251
zhang2020analysis,peer-reviewed review/analysis,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,comparative analysis of probabilistic- and absolute-finality consensus families,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,consensus protocols compared under their stated fault and membership models,analytical comparison,not an unmanned-system or partitioned-mission benchmark,lawful full text inspected; claim-level coding completed for review scope,Analysis of the main consensus protocols of blockchain,2020,10.1016/j.icte.2019.08.001
dorri2017towards,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards an Optimized BlockChain for IoT,2017,10.1145/3054977.3055003
hang2019design,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Design and Implementation of an Integrated IoT Blockchain Platform for Sensing Data Integrity,2019,10.3390/s19102228
honarpajooh2021iot,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; ledger/governance consistency,processing/fusion/sharing; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,IoT Big Data provenance scheme using blockchain on Hadoop ecosystem,2021,10.1186/s40537-021-00505-y
hu2020survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity,processing/fusion/sharing,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,possible provenance anchor; source does not necessarily require a ledger,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey on data provenance in IoT,2020,10.1007/s11280-019-00746-1
pan2023data,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity,processing/fusion/sharing,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,not applicable/title-insufficient,possible provenance anchor; source does not necessarily require a ledger,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Data Provenance in Security and Privacy,2023,10.1145/3593294
singh2019decision,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; mission-use suitability,processing/fusion/sharing; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,possible provenance anchor; source does not necessarily require a ledger,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Decision Provenance: Harnessing Data Flow for Accountable Systems,2019,10.1109/access.2018.2887201
kale2023provenance,peer-reviewed review,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; mission-use suitability,processing/fusion/sharing; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,possible provenance anchor; source does not necessarily require a ledger,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Provenance documentation to enable explainable and trustworthy AI: A literature review,2023,10.1162/dint_a_00119
hardjono2021towards,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,communications/data collection,entity; platform/device; link/path,commitment/provenance integrity; ledger/governance consistency,admission/authentication; transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards an attestation architecture for blockchain networks,2021,10.1007/s11280-021-00869-4
ott2023universal,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity,admission/authentication,"implemented hardware-agnostic attestation for TPM, AMD SEV-SNP, and ARM PSA with latency, size, and security evaluation",not title-coded,not applicable/title-insufficient,not central,"trusted hardware roots, signed reference manifests, TLS 1.3, and valid appraisal metadata",multi-platform prototype (maturity level 3),"cloud/edge testbed; attests measured platform state, not sensor calibration or physical truth",lawful full text inspected; claim-level coding completed for review scope,Universal Remote Attestation for Cloud and Edge Platforms,2023,10.1145/3600160.3600171
figueiredo2022arcadian,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"ARCADIAN-IoT - Enabling Autonomous Trust, Security and Privacy Management for IoT",2022,10.1007/978-3-031-20936-9_28
baciu2025secure,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,commitment/provenance integrity,admission/authentication,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,machine learning,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Secure Tiny Machine Learning on Edge Devices: A Lightweight Dual Attestation Mechanism for Machine Learning,2025,10.3390/fi17020085
suhail2022trustworthy,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,ledger/governance consistency; mission-use suitability,decision/action; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Trustworthy Digital Twins in the Industrial Internet of Things With Blockchain,2022,10.1109/mic.2021.3059320
khan2020iot,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; ledger/governance consistency,processing/fusion/sharing; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,machine learning,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,IoT-Blockchain Enabled Optimized Provenance System for Food Industry 4.0 Using Advanced Deep Learning,2020,10.3390/s20102990
rahman2020secure,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,commitment/provenance integrity; ledger/governance consistency,processing/fusion/sharing; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Secure and Provenance Enhanced Internet of Health Things Framework: A Blockchain Managed Federated Learning Approach,2020,10.1109/access.2020.3037474
uddin2021survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,A survey on the adoption of blockchain in IoT: challenges and solutions,2021,10.1016/j.bcra.2021.100006
monrat2019survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"A Survey of Blockchain From the Perspectives of Applications, Challenges, and Opportunities",2019,10.1109/access.2019.2936094
casino2019systematic,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"A systematic literature review of blockchain-based applications: Current status, classification and open issues",2019,10.1016/j.tele.2018.11.006
alladi2019blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Blockchain Applications for Industry 4.0 and Industrial IoT: A Review,2019,10.1109/access.2019.2956748
javaid2021blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain technology applications for Industry 4.0: A literature-based review,2021,10.1016/j.bcra.2021.100027
hewa2021survey,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Survey on blockchain based smart contracts: Applications, opportunities and challenges",2021,10.1016/j.jnca.2020.102857
nguyen2020blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain for 5G and beyond networks: A state of the art survey,2020,10.1016/j.jnca.2020.102693
lnes2017blockchain,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,processing/fusion/sharing; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain in government: Benefits and implications of distributed ledger technology for information sharing,2017,10.1016/j.giq.2017.09.007
zhou2020key,peer-reviewed primary study,surface/maritime,USV/maritime infrastructure,cross-domain mission assurance,data product; entity,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,The key challenges and critical success factors of blockchain implementation: Policy implications for Singapore’s maritime industry,2020,10.1016/j.marpol.2020.104265
